Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
U1/V	IA/nA	U2/V	U3/V	UH/V

7,69	0,47	3,0	6,0	4,7
7,71	0,47	3,0	6,0	4,7
7,74	0,46	3,0	6,0	4,7
7,76	0,47	3,0	6,0	4,7
7,78	0,47	3,0	6,0	4,7
7,81	0,48	3,0	6,0	4,7
7,83	0,47	3,0	6,0	4,7
7,86	0,48	3,0	6,0	4,7
7,88	0,47	3,0	6,0	4,7
7,91	0,47	3,0	6,0	4,7
7,93	0,48	3,0	6,0	4,7
7,96	0,48	3,0	6,0	4,7
7,98	0,48	3,0	6,0	4,7
8,00	0,48	3,0	6,0	4,7
8,03	0,48	3,0	6,0	4,7
8,05	0,48	3,0	6,0	4,7
8,08	0,48	3,0	6,0	4,7
8,10	0,49	3,0	6,0	4,7
8,13	0,49	3,0	6,0	4,7
8,15	0,49	3,0	6,0	4,7
8,18	0,49	3,0	6,0	4,7
8,20	0,50	3,0	6,0	4,7
8,22	0,50	3,0	6,0	4,7
8,25	0,50	3,0	6,0	4,7
8,27	0,50	3,0	6,0	4,7
8,30	0,49	3,0	6,0	4,7
8,32	0,50	3,0	6,0	4,7
8,35	0,50	3,0	6,0	4,7
8,37	0,51	3,0	6,0	4,7
8,40	0,51	3,0	6,0	4,7
8,42	0,50	3,0	6,0	4,7
8,44	0,50	3,0	6,0	4,7
8,47	0,50	3,0	6,0	4,7
8,49	0,50	3,0	6,0	4,7
8,52	0,51	3,0	6,0	4,7
8,54	0,51	3,0	6,0	4,7
8,57	0,51	3,0	6,0	4,7
8,59	0,50	3,0	6,0	4,7
8,62	0,51	3,0	6,0	4,7
8,64	0,52	3,0	6,0	4,7
8,66	0,51	3,0	6,0	4,7
8,69	0,52	3,0	6,0	4,7
8,71	0,51	3,0	6,0	4,7
8,74	0,51	3,0	6,0	4,7
8,76	0,50	3,0	6,0	4,7
8,79	0,51	3,0	6,0	4,7
8,81	0,52	3,0	6,0	4,7
8,84	0,52	3,0	6,0	4,7
8,86	0,51	3,0	6,0	4,7
