Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
U1/V	IA/nA	U2/V	U3/V	UH/V

14,89	0,23	4,5	6,0	5,0
14,92	0,22	4,5	6,0	5,0
14,94	0,22	4,5	6,0	5,0
14,96	0,22	4,5	6,0	5,0
14,99	0,21	4,5	6,0	5,0
15,01	0,20	4,5	6,0	5,0
15,04	0,20	4,5	6,0	5,0
15,06	0,20	4,5	6,0	5,0
15,09	0,20	4,5	6,0	5,0
15,11	0,20	4,5	6,0	5,0
15,14	0,20	4,5	6,0	5,0
15,16	0,20	4,5	6,0	5,0
15,18	0,19	4,5	6,0	5,0
15,21	0,20	4,5	6,0	5,0
15,23	0,19	4,5	6,0	5,0
15,26	0,18	4,5	6,0	5,0
15,28	0,18	4,5	6,0	5,0
15,31	0,17	4,5	6,0	5,0
15,33	0,17	4,5	6,0	5,0
15,36	0,17	4,5	6,0	5,0
15,38	0,17	4,5	6,0	5,0
15,40	0,17	4,5	6,0	5,0
15,43	0,16	4,5	6,0	5,0
15,45	0,16	4,5	6,0	5,0
15,48	0,16	4,5	6,0	5,0
15,50	0,15	4,5	6,0	5,0
15,53	0,16	4,5	6,0	5,0
15,55	0,16	4,5	6,0	5,0
15,57	0,15	4,5	6,0	5,0
15,60	0,14	4,5	6,0	5,0
15,62	0,14	4,5	6,0	5,0
15,65	0,14	4,5	6,0	5,0
15,67	0,14	4,5	6,0	5,0
15,70	0,14	4,5	6,0	5,0
15,72	0,13	4,5	6,0	5,0
15,75	0,12	4,5	6,0	5,0
15,77	0,12	4,5	6,0	5,0
15,79	0,12	4,5	6,0	5,0
15,82	0,12	4,5	6,0	5,0
15,84	0,12	4,5	6,0	5,0
15,87	0,11	4,5	6,0	5,0
15,89	0,11	4,5	6,0	5,0
15,92	0,11	4,5	6,0	5,0
15,94	0,11	4,5	6,0	5,0
15,97	0,11	4,5	6,0	5,0
15,99	0,11	4,5	6,0	5,0
16,01	0,11	4,5	6,0	5,0
16,04	0,10	4,5	6,0	5,0
16,06	0,10	4,5	6,0	5,0
16,09	0,11	4,5	6,0	5,0
16,11	0,11	4,5	6,0	5,0
16,14	0,11	4,5	6,0	5,0
16,16	0,11	4,5	6,0	5,0
16,19	0,10	4,5	6,0	5,0
16,21	0,10	4,5	6,0	5,0
16,23	0,10	4,5	6,0	5,0
16,26	0,11	4,5	6,0	5,0
16,28	0,09	4,5	6,0	5,0
16,31	0,09	4,5	6,0	5,0
16,33	0,09	4,5	6,0	5,0
16,36	0,10	4,5	6,0	5,0
16,38	0,10	4,5	6,0	5,0
16,41	0,10	4,5	6,0	5,0
16,43	0,10	4,5	6,0	5,0
16,45	0,09	4,5	6,0	5,0
16,48	0,09	4,5	6,0	5,0
16,50	0,09	4,5	6,0	5,0
16,53	0,10	4,5	6,0	5,0
16,55	0,09	4,5	6,0	5,0
16,58	0,09	4,5	6,0	5,0
16,60	0,09	4,5	6,0	5,0
16,63	0,09	4,5	6,0	5,0
16,65	0,09	4,5	6,0	5,0
16,67	0,09	4,5	6,0	5,0
16,70	0,09	4,5	6,0	5,0
16,72	0,08	4,5	6,0	5,0
16,75	0,08	4,5	6,0	5,0
16,77	0,09	4,5	6,0	5,0
